Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Pkg Code
LTC5599IUF#PBF	Linear Technology	DK	LTC5599IUF#PBF-ND	IC MODULATOR QUAD 24QFN 	24-WFQFN
LTC5584IUF#PBF	Linear Technology	DK	LTC5584IUF#PBF-ND	RF IQ DEMOD IIP2 DC OFFSET 24QFN	24-QFN (4x4) 
HMC472ALP4ETR	Analog Devices Inc	DK	1127-1854-6-ND 	IC ATTENUATOR DGTL 6BIT 24QFN	24-VFQFN
LT1761ES5-3.3#TRMPBF	Linear Technology	DK	LT1761ES5-3.3#TRMPBFDKR-ND	IC REG LDO 3.3V 0.1A TSOT23-5	TSOT-23-5
CX2047LNLT	Pulse Electronics Corporation	DK	553-2291-6-ND	TRANSFORMER FOR WIDEBAND RF APP 	5-SMD 
PAT1220-C-0DB-T5	Susumu	DK	PAT120DKR-ND	ATTENUATOR 0 DB 50 OHM 0805 SMD 	0805
PAT1220-C-3DB-T5	Susumu	DK	PAT123DKR-ND	ATTENUATOR 3 DB 50 OHM 0805 SMD 	0805
PAT1220-C-6DB-T5	Susumu	DK	PAT126DKR-ND	ATTENUATOR 6 DB 50 OHM 0805 SMD 	0805
ERA-3AEB103V	Panasonic Electronic Components 	DK	P10KDBDKR-ND 	RES SMD 10K OHM 0.1% 1/10W 0603 	0603
ERA-3AEB1332V	Panasonic Electronic Components 	DK	P13.3KDBDKR-ND 	RES SMD 13.3KOHM 0.1% 1/10W 0603 	0603
ERA-3AEB5620V	Panasonic Electronic Components 	DK	P562DBDKR-ND 	RES SMD 562 OHM 0.1% 1/10W 0603 	0603
MGA-30889-TR1G	Broadcom Limited 	DK	516-3110-6-ND	IC AMP MMIC 40MHZ-2600MHZ SOT89 	 SOT-89-3
LQW2BASR82J00L	Murata Electronics North America	DK	490-5677-6-ND	FIXED IND 820NH 180MA 2.35 OHM 	0805
ADP-2-1W	Mini-Circuits	Mini-Circuits	ADP-2-1W	Power Splitter/Combiner RoHS5 	CD636
MAAM-011156-TR1000	M/A-Com Technology Solutions	DK	1465-1752-6-ND	MMIC AMP 5-300MHZ 19DB 16QFN 	16-PQFN (3x3)
AISC-0603-R082J-T	Abracon LLC	DK	535-10476-6-ND	FIXED IND 82NH 300MA 500 MOHM 	0805
AISC-0603-R068J-T	Abracon LLC	DK	535-10474-6-ND	FIXED IND 68NH 350MA 380 MOHM 	0805
CBR06C809CAGAC	Kemet	DK	399-13252-6-ND 	CAP CER 8PF 250V NP0 0603 	0603
TC1-1-13M+	Mini-Circuits	Mini-Circuits	TC1-1-13M+	Transformer RF RoHS	AT224-1A
AD5592RBCPZ-RL7	Analog Devices Inc.	DK	AD5592RBCPZ-RL7DKR-ND	IC DAC/ADC 12BIT OCT SPI 16LFCSP	16-LFCSP-WQ (3x3)
AD5592RBCPZ-1-RL7	Analog Devices Inc.	MOUSER	584-AD5592RBCPZ-1RL7	Data Acquisition ADCs/DACs - Specialized 12-bit octal I2 C DAC/ADC w on-chip	16-LFCSP-WQ (3x3)
UA78M05CDCYR	Texas Instruments	DK	296-12290-6-ND	IC REG LDO 5V 0.5A SOT223	SOT223-4
SN74LVC1G57DCKR	Texas Instruments	DK	296-15575-6-ND	IC MULT-FUNCTION GATE SC70-6 	SC-70-6
SN74LVC1G58DCKR	Texas Instruments	DK	296-15577-6-ND	IC MULT-FUNCTION GATE SC70-6 	SC-70-6
WSL27265L000FEB	Vishay Dale	DK	WSLQ-.005DKR-ND	RES SMD 0.005 OHM 1% 3W 2726	2726
LM4040C82IDCKR	Texas Instruments	DK	296-20896-6-ND	IC VREF SHUNT 8.192V SC70	SC-70-5 
SMSA3923-011LF 	Skyworks Solutions Inc.	DK	863-1700-6-ND 	DIODE SCHOTTKY 	SOD-323 
1010VS-141MEC	Coilcraft	Coilcraft	1010VS-141MEC	INDUCTOR 146nH +/-20% AIR CORE
1010VS-23NMEC	Coilcraft	Coilcraft	1010VS-23NMEC	INDUCTOR 23.5nH +/-20% AIR CORE
SN74LVC1G125DCKR	Texas Instruments	DK	296-11604-6-ND	C BUS BUFF TRI-ST N-INV SC70-5	SC-70-5
VJ1206Y105KCXAT	Vishay Vitramon	MOUSER	77-VJ1206Y105KCXAT 	Multilayer Ceramic Capacitors MLCC - SMD/SMT 1206 1uF 25volts Non-Magnetic	1206
ADP7142ARDZ-R7	Analog Devices Inc.	DK	ADP7142ARDZ-R7CT-ND	IC REG LDO ADJ 0.2A 8SOIC	8-SOIC-EP
LT3060ETS8#TRMPBF	Linear Technology	DK	LT3060ETS8#TRMPBFCT-ND	IC REG LDO ADJ 0.1A TSOT23-8	TSOT-23-8
ADR130AUJZ-REEL7	Analog Devices Inc.	DK	ADR130AUJZ-REEL7CT-ND	IC VREF SERIES PROG TSOT-6	TSOT-6
5-1814832-1	TE Connectivity AMP Connectors	DK	A97594-ND	CONN SMA JACK STR 50 OHM PCB	Through Hole
3214X-1-104E	Bourns Inc.	DK	3214X-1-104ECT-ND	TRIMMER 100K OHM 0.25W SMD	Gull Wing
3214X-1-103E	Bourns Inc.	DK	3214X-1-103ECT-ND	TRIMMER 10K OHM 0.25W SMD	Gull Wing
TC2-1TG2+	Mini-Circuits	Mini-Circuits	TC2-1TG2+	RF Balun 1:2CT	AT224-3
KMR431G LFS	C&K	DK	CKN10250CT-ND	SWITCH TACTILE SPST-NO 0.05A 32V	Gull Wing
MBR0540T1G	ON Semiconductor	DK	MBR0540T1GOSCT-ND	DIODE SCHOTTKY 40V 500MA SOD123	SOD-123
A-1JB	Amphenol-RF Division	DK	RF1579CT-ND	CONN UMC JACK STR 50 OHM SMD	SMT VERT
LQW18AN27NG10D	Murata Electronics North America	DK	490-6880-1-ND	FIXED IND 27NH 590MA 116 MOHM	0603
ADG901BRMZ-REEL7	Analog Devices Inc.	DK	ADG901BRMZ-REEL7DKR-ND	RF Switch IC ASK/FSK SPST 50 Ohm 8-MSOP	MSOP8
CGA2B3X7R1E104K050BB	TDK Corporation	DK	445-6902-6-ND	CAP CER 0.1UF 25V X7R 0402	0402
MI0603L301R-10	Laird-Signal Integrity Products	DK	240-2374-6-ND	FERRITE BEAD 300 OHM 0603 1LN	0603
MC7805ABTG	ON Semiconductor	DK	MC7805ABTGOS-ND	IC REG LINEAR 5V 1A TO220AB	TO220AB
MC78M15ABTG	ON Semiconductor	DK	MC78M15ABTGOS-ND	IC REG LINEAR 15V 500MA TO220AB	TO220AB
MC79M05BTG	ON Semiconductor	DK	MC79M05BTGOS-ND	IC REG LINEAR -5V 500MA TO220AB	TO220AB
MC79M15BTG	ON Semiconductor	DK	MC79M15BTGOSOS-ND	IC REG LINEAR -15V 500MA TO220AB	TO220AB
LM339AN	Texas Instruments	DK	296-6605-5-ND	IC QUAD DIFF COMPARATOR 14-DIP	14-PDIP
TLC084AIN	Texas Instruments	DK	296-7281-5-ND	IC OPAMP GP 10MHZ 14DIP	14-PDIP
HCPL-2231-000E	Broadcom Limited	DK	516-1582-5-ND	OPTOISO 3.75KV 2CH PSH PULL 8DIP	8-DIP
TEST	Broadcom Limited	DK	516-1582-5-ND	OPTOISO 3.75KV 2CH PSH PULL 8DIP	8-DIP
G224V13	Pololu	Pololu	2992	G2 High-Power Motor Driver 24v13	Module
G224v21	Pololu	Pololu	2995	G2 High-Power Motor Driver 24v21	Module
DC1446A	Linear Technology	Linear Technology	DC1446A	LTC6909 DEMO BOARD	Module
1N4148	ON Semiconductor	DK	1N4148FS-ND	DIODE GEN PURP 100V 200MA DO35	DO-35
LAX 100-NP	LEM	DK	398-1024-5-ND	SENSOR CURRENT HALL SELECTABLE	NA
C322C102F1G5TA	KEMET	DK	399-13986-ND	CAP CER 1000PF 1% 100V C0G RAD	Radial
FG28X5R1H105KRT06	TDK Corporation	DK	445-173579-1-ND	CAP CER 1UF 50V X5R RADIAL	Radial
FG14X5R1E226MRT06	TDK Corporation	DK	445-173129-1-ND	CAP CER 22UF 25V X5R RADIAL	Radial
FG28X7R1H104KNT06	TDK Corporation	DK	445-173588-1-ND	CAP CER 0.1UF 50V X7R RADIAL	Radial
PH9455.155NL	Pulse Electronics Power	DK	553-3958-ND	CMC 1.62MH 19A 2 1.8KOHM T/H	Vertical 4 PC Pin
BAT46-TR	Vishay Semiconductor Diodes Division	DK	BAT46CT-ND	DIODE SCHOTTKY 100V 150MA DO35	DO-35
RNU1H390MDN1KX	Nichicon	DK	493-6636-1-ND	CAP ALUM POLY 39UF 20% 50V T/H	Radial
940C16P1K-F	Cornell Dubilier Electronics (CDE)	DK	338-1165-ND	CAP FILM 0.1UF 10% 1.6KVDC AXIAL	Axial
942C20S1K-F	Cornell Dubilier Electronics (CDE)	DK	338-3527-ND	CAP FILM 10000PF 10% 2KVDC AXIAL	Axial
SC-05-10J	KEMET	DK	399-10651-ND	COMMON MODE CHOKE 1MH 5A 2LN TH	Vertical 4 PC Pin
SC-10-30J	KEMET	DK	399-10657-ND	COMMON MODE CHOKE 3MH 10A 2LN TH	Vertical 4 PC Pin
74435581000	Wurth Electronics Inc	DK	732-4235-1-ND	FIXED IND 10UH 21A 3.4 MOHM SMD	2212
LA 130-P	LEM USA Inc	DK	398-1154-ND	SENSOR CURRENT HALL 130A AC/DC	Module
MAX322CPA+	Maxim Integrated	DK	MAX322CPA+-ND	IC SWITCH DUAL SPST 8DIP	8-PDIP
TL1105EF250Q7.3RED	E-Switch	DK	EG1832-ND	SWITCH TACTILE SPST-NO 0.05A 12V	Vertical
MC7809CTG	ON Semiconductor	DK	MC7809CTGOS-ND	IC REG LINEAR 9V 1A TO220AB	TO-220AB
MC7812CTG	ON Semiconductor	DK	MC7812CTGOS-ND	IC REG LINEAR 12V 1A TO220AB	TO-220AB
MC7912CTG	ON Semiconductor	DK	MC7912CTGOS-ND	IC REG LINEAR -12V 1A TO220AB	TO-220AB
MC7805CTG	ON Semiconductor	DK	MC7805CTGOS-ND	IC REG LINEAR 5V 1A TO220AB	TO-220AB
EST228M050AN2AA	KEMET	DK	399-6616-ND	CAP ALUM 2200UF 20% 50V RADIAL	Radial
OSTTD040161	On Shore Technology Inc.	DK	ED2620-ND	TERMINAL BLOCK 5MM HOR 4POS PCB	Vertical
1N4148-T50R	ON Semiconductor	DK	1N4148-T50RCT-ND	DIODE GEN PURP 100V 200MA DO35	DO-35
1N5819	ON Semiconductor	DK	1N5819FSCT-ND	DIODE SCHOTTKY 40V 1A DO41	DO-41
